"linenumber","fec_committee_id","clean_name","tran_id","flag_orgind","recipient","address_one","address_two","city","state","zip","date","amount","purpose","memo_code","memo_text"
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.10233","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-04-16","111.85","MEETING EXPENSE: FOOD AND/OR BEVERAGES",,
"SB21B","C00632133","Swing Left","500290221","ORG","Rue Cafe","3906 14Th St NW",,"Washington","DC","200115406","2024-08-09","18.54","Meals","X","*"
"SB21B","C00632133","Swing Left","500290400","ORG","Taqueria Habanero","3710 14Th St NW",,"Washington","DC","200101321","2024-08-20","52.8","Meals","X","*"
"SB21B","C00843110","Leaders We Deserve","500696306","ORG","China Chilcano","418 7th St NW",,"Washington","DC","200042217","2024-08-05","160.7","Meals","X","*"
"SB21B","C00843110","Leaders We Deserve","500696320","ORG","Jaleo DC","480 7th St NW",,"Washington","DC","200042207","2024-08-05","197.2","Meals","X","*"
"SB21B","C00843110","Leaders We Deserve","500696340","ORG","RPM Restaurants","650 K St NW",,"Washington","DC","200011341","2024-08-05","148.5","Meals","X","*"
"SB17","C00792598","Mark Alford For Congress, Inc.","B47F8D12A78874359A77","ORG","SCARLET OAK","909 NEW JERSEY AVE SE",,"WASHINGTON","DC","200033382","2024-04-22","319.8","MEALS",,
"SB17","C00792598","Mark Alford For Congress, Inc.","B482653E57C5E48ADBFE","ORG","THE ULTIMATE NOSH","1309 5TH ST NE",,"WASHINGTON","DC","200027003","2024-06-21","424","MEALS",,
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.11174","ORG","YOUNG CHOW RESTAURANT","312 PENNSYLVANIA AVE SE",,"WASHINGTON","DC","20003","2024-05-14","759","MEETING EXPENSE: FOOD AND/OR BEVERAGES [SB17.10219]","X",
"SB17","C00792598","Mark Alford For Congress, Inc.","B98738C36E8BE4382BE9","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-04-16","1832.97","EVENT FOOD & BEV",,
"SB17","C00792598","Mark Alford For Congress, Inc.","B30E9A39B851540D88A4","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-05-16","978.4","MEALS",,
"SB17","C00792598","Mark Alford For Congress, Inc.","B8EDB76AF7AB0484DB9C","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-06-17","1053.9","MEALS",,
"SB29","C00821439","American Values 2024","BE79058947CC14213AF3","ORG","Quill at The Jefferson","1200 16th St NW",,"Washington","DC","200363202","2024-06-17","179","Noncontrib FNBO CC - Meals","X",
"SB29","C00821439","American Values 2024","B60BE8CA7A48E4EA3B0C","ORG","Quill at The Jefferson","1200 16th St NW",,"Washington","DC","200363202","2024-06-07","196.3","Noncontrib FNBO CC - Meals","X",
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.11178","ORG","YOUNG CHOW RESTAURANT","312 PENNSYLVANIA AVE SE",,"WASHINGTON","DC","20003","2024-05-16","130","MEETING EXPENSE: FOOD AND/OR BEVERAGES [SB17.10219]","X",
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.10234","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-04-16","1848.82","MEETING EXPENSE: FOOD AND/OR BEVERAGES",,
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.10235","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-05-16","184","MEETING EXPENSE: FOOD AND/OR BEVERAGES",,
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.10236","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-05-16","82","MEETING EXPENSE: FOOD AND/OR BEVERAGES",,
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.10237","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-06-17","82","MEETING EXPENSE: FOOD AND/OR BEVERAGES",,
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.10238","ORG","CAPITOL HILL CLUB","300 FIRST ST SE",,"WASHINGTON","DC","20003","2024-06-17","1015.64","MEETING EXPENSE: FOOD AND/OR BEVERAGES",,
"SB17","C00815373","Laurel Lee For Congress, Inc.","SB17.11129","ORG","THE SALT LINE","79 POTOMAC AVE SE",,"WASHINGTON","DC","20003","2024-04-12","476.55","MEETING EXPENSE: FOOD AND/OR BEVERAGES [SB17.10207]","X",
"SB21B","C00821058","Alabama First Pac","B08C858EDD61C4E0A824","ORG","CAPITAL GRILLE","600 PENNSYLVANIA AVE NW",,"WASHINGTON","DC","205800001","2024-04-19","208.56","FOOD/BEVERAGE",,
"SB21B","C00821058","Alabama First Pac","B12DB847A9A124FA6A9F","ORG","CAPITAL GRILLE","600 PENNSYLVANIA AVE NW",,"WASHINGTON","DC","205800001","2024-04-29","185.1","FOOD/BEVERAGE",,
"SB21B","C00821058","Alabama First Pac","B926454AE0CC5402AB16","ORG","116 CLUB","234 3RD ST NE",,"WASHINGTON","DC","200025756","2024-05-02","273.52","FOOD/BEVERAGE",,
"SB17","C00576041","Salud Carbajal For Congress","501169846","ORG","National Democratic Club","30 Ivy St SE",,"Washington","DC","200034006","2024-05-01","250.83","Meal","X","*"
"SB21B","C00821058","Alabama First Pac","B95D722A545DD4FBFA5E","ORG","UNION PUB","201 MASSACHUSETTS AVE NE",,"WASHINGTON","DC","200024957","2024-06-06","541.83","FOOD/BEVERAGE",,
"SB21B","C00821058","Alabama First Pac","BA42BD1ECC98042B7B58","ORG","LAPLAZA","629 PENNSYLVANIA AVE SE","# 4303","WASHINGTON","DC","200034303","2024-06-11","163.06","FOOD/BEVERAGE",,
"SB21B","C00821058","Alabama First Pac","B3076F24FE2CB4E3891B","ORG","WASHINGTON NATIONALS","1500 S CAPITOL ST SE",,"WASHINGTON","DC","200033599","2024-06-13","27.5","FOOD/BEVERAGE",,
"SB17","C00506832","Marc Veasey Congressional Campaign Committee","500353467","ORG","Osteria Morini","301 Water St SE",,"Washington","DC","200033734","2024-05-28","146.52","Food and Meals","X","*"
"SB17","C00506832","Marc Veasey Congressional Campaign Committee","500351697","ORG","National Democratic Club","30 Ivy St SE",,"Washington","DC","200034006","2024-04-19","517.54","Dues and Meals",,
"SB17","C00349506","Friends Of Maria","500377681","ORG","Senate Restaurants","1ST St NE","# C","Washington","DC","205100001","2024-04-11","27.6","Meals",,
"SB17","C00349506","Friends Of Maria","500381481","ORG","Senate Restaurants","1ST St NE","# C","Washington","DC","205100001","2024-05-17","55.2","Meals",,
"SB17","C00857359","Brandon Gill For Texas","SB17.997987.064","ORG","JOES SEAFOOD, PRIME STEAK & STONE CRAB","750 15TH ST NW",,"WASHINGTON","DC","20005","2023-11-30","203","MEETING EXPENSE: MEALS","X",
