expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments
3/1/22,Bank of America,10 Light Street  Baltimore  Maryland 21202,Business/Group/Organization,29.95,Gordon Feinblatt LLC PAC,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
4/1/22,Bank of America,10 Light Street  Baltimore  Maryland 21202,Business/Group/Organization,29.95,Gordon Feinblatt LLC PAC,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
5/1/22,Bank of America,10 Light Street  Baltimore  Maryland 21202,Business/Group/Organization,29.95,Gordon Feinblatt LLC PAC,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
6/30/22,Meta,1 Hacker Way  Menlo Park  California 94024,Business/Group/Organization,26.04,Hazel  Kristin Parents for,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA
6/13/22,Antietam broadband,1000 Willow Circle  Hagerstown  Maryland 21740,Business/Group/Organization,9506,Barr  John Friends of,Media,TV,NA,Check,NA,Electoral,NA
6/10/22,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,35.37,Ali  Saqib Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA
6/20/22,Amazon,410 North Terry Ave  Seattle  Washington 98109,Business/Group/Organization,68.89,Ali  Saqib Friends of,Rent and Other Office expenses,Office Supplies,NA,Debit Card,NA,Electoral,NA
6/9/22,Stripe,354 Oyster Point Blvd  San Francisco  California 94080,Business/Group/Organization,0.74,Rose  Dean for BOE,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
6/14/22,Robin Rose,9911 Ritchie Dr  Ijamsville  Frederick  Maryland 21754,Individual,157,Rose  Dean for BOE,In-Kind,Postage,NA,Debit Card,NA,Electoral,NA
6/10/22,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,15,Hamilton  Rebecca Patriots for,Media,Online Advertising,NA,EFT,NA,Electoral,NA
6/13/22,bj custom creations,900 Sweeny Drive  Hagerstown  Maryland 21740,Business/Group/Organization,595.1,Barr  John Friends of,Other Expenses,Graphic Design,NA,Check,NA,Electoral,NA
6/16/22,Anedot,1340 Poydras St  New Orleans  Louisiana 70112,Business/Group/Organization,0.9,Fazenbaker  (Timothy) Tim Citizens for,Other Expenses,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/22/22,Anedot,1340 Poydras St  New Orleans  Louisiana 70112,Business/Group/Organization,1.3,Fazenbaker  (Timothy) Tim Citizens for,Other Expenses,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/9/22,HBP Inc.,952 Frederick Street  Hagerstown  Maryland 21740,Business/Group/Organization,1614.15,Kurtom  Neveen Friends of,Postage,Postage,NA,EFT,NA,Electoral,NA
6/22/22,Heyman Mailing Service  Inc.,8505 Atlas Drive  Gaithersburg  Maryland 20877,Business/Group/Organization,9163.45,CutMDSalesTax2Cents.com-Robin Ficker,Direct Mailing by Mail House (R),Mailing Service,NA,Check,NA,Electoral,NA
6/28/22,Heyman Mailing Service  Inc.,8505 Atlas Drive  Gaithersburg  Maryland 20877,Business/Group/Organization,104231.85,CutMDSalesTax2Cents.com-Robin Ficker,Direct Mailing by Mail House (R),Mailing Service,NA,Check,NA,Electoral,NA
6/8/22,Michael Anis,Rt. 5  Waldorf  Maryland 20603,Individual,50,CutMDSalesTax2Cents.com-Robin Ficker,Media,Billboards / Outdoor Advertising,NA,EFT,NA,Electoral,NA
1/31/22,Verna Karolenko,2083 Misty Meadow Road  Finksburg  Carroll  Maryland 21048,Individual,1000,Weaver  Richard Citizens for,Other Expenses,Other,NA,Check,NA,Electoral,Reimbursement for accounting
6/15/22,Tristate Printing,120 Bester St  Hagerstown  Maryland 21740,Business/Group/Organization,135.57,Gallagher  Rae Friends of,Printing and Campaign Materials,Printing - Brochures,NA,Debit Card,NA,Electoral,NA
6/8/22,JustYardSigns,4880 A1 Distribution Court  Orlando  Florida 32822,Business/Group/Organization,455,Gallagher  Rae Friends of,Printing and Campaign Materials,Printing - Yard Signs,NA,Debit Card,NA,Electoral,NA
6/21/22,Giant Foods,1700 Kingfisher Drive  Frederick  Maryland 21703,Business/Group/Organization,23.2,Gallagher  Rae Friends of,Postage,Postage,NA,Debit Card,NA,Electoral,NA
6/22/22,Home Depot,51 McCain Drive  Frederick  Maryland 21702,Business/Group/Organization,126.97,Gallagher  Rae Friends of,Other Expenses,Other,NA,Debit Card,NA,Electoral,Yard sign posts and zip ties
6/23/22,Staples,1305 West 7th Street  Frederick  Maryland 21702,Business/Group/Organization,68.14,Gallagher  Rae Friends of,Other Expenses,Other,NA,Debit Card,NA,Electoral,Staples and ink cartridges
6/29/22,JustYardSigns,4880 A1 Distribution Court  Orlando  Florida 32822,Business/Group/Organization,382,Gallagher  Rae Friends of,Printing and Campaign Materials,Printing - Yard Signs,NA,Debit Card,NA,Electoral,NA
2/1/22,Bank of America,10 Light Street  Baltimore  Maryland 21202,Business/Group/Organization,29.95,Gordon Feinblatt LLC PAC,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
6/8/22,Capitol Media Strategies,69 Tulip Poplar Turn  Ocean View  Delaware 19970,Business/Group/Organization,6438,Kramer  Ben Friends Of,Direct Mailing by Mail House (R),Mailing Service,NA,Check,NA,Electoral,D-19 Direct Mailings
6/8/22,Capitol Media Strategies,69 Tulip Poplar Turn  Ocean View  Delaware 19970,Business/Group/Organization,50,Kramer  Ben Friends Of,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,Ad
6/8/22,Capitol Media Strategies,69 Tulip Poplar Turn  Ocean View  Delaware 19970,Business/Group/Organization,18.75,Kramer  Ben Friends Of,Other Expenses,Graphic Design,NA,Check,NA,Electoral,Sign design
6/15/22,Capitol Media Strategies,69 Tulip Poplar Turn  Ocean View  Delaware 19970,Business/Group/Organization,375,Kramer  Ben Friends Of,Media,Newspaper,NA,Check,NA,Electoral,D-19 Ad
6/9/22,ST MARY'S COUNTY COMMISSIONERS,23150 Leonard Hall Drive  Leonardtown  Maryland 20650,Business/Group/Organization,10,Fleenor  Todd for Sheriff,Fund Raiser,Fundraiser - Food & Beverage,NA,Cash,NA,Electoral,NA
6/13/22,DBFAMEDIA,9683 CHARLES STREET  LA PLATA  Maryland 20646,Business/Group/Organization,5002,Fleenor  Todd for Sheriff,Media,TV,NA,Check,NA,Electoral,NA
6/10/22,FLEENOR FOR SHERIFF,PO BOX 76  MECHANICSVILLE  Maryland 20659,Business/Group/Organization,1300,Fleenor  Todd for Sheriff,Fund Raiser,Fundraiser -General Expenses,NA,Check,NA,Electoral,PETTY CASH NEEDED FOR FUNDRAISER ON 6/12/2022.
6/8/22,ANEDOT,1340 Poydras Street Suite 1770  New Orleans  Louisiana 70112,Business/Group/Organization,4.7,Fleenor  Todd for Sheriff,Fund Raiser,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/10/22,ANEDOT,1340 Poydras Street Suite 1770  New Orleans  Louisiana 70112,Business/Group/Organization,3.8,Fleenor  Todd for Sheriff,Fund Raiser,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/13/22,ANEDOT,1340 Poydras Street Suite 1770  New Orleans  Louisiana 70112,Business/Group/Organization,10.9,Fleenor  Todd for Sheriff,Fund Raiser,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/25/22,FIREWORKS,1011 N STAFFORD DRIVE  ARLINGTON  Virginia 22207,Business/Group/Organization,109.95,Fleenor  Todd for Sheriff,Field Expenses,Fair Expenses -General,NA,Debit Card,NA,Electoral,SPARKLERS FOR THE 4TH OF JULY PARADE.
6/25/22,UNITED STATES POSTAL SERVICE,29948 Three Notch Road  Charlotte Hall  Maryland 20622,Business/Group/Organization,34.8,Fleenor  Todd for Sheriff,Direct Mailing by Mail House (R),Mailing Service,NA,Credit Card/Visa,NA,Electoral,NA
6/28/22,SOMAR COMMUNICATION RADIO,28095 Three Notch Road  Mechanicsville  Maryland 20659,Business/Group/Organization,1860,Fleenor  Todd for Sheriff,Media,Radio,NA,Check,NA,Electoral,NA
6/13/22,BACKYARD AMUSEMENTS,4540 Printers Court  White Plains  Maryland 20695,Business/Group/Organization,312.13,Fleenor  Todd for Sheriff,Fund Raiser,Fundraiser - Entertainment,NA,Credit Card/Visa,NA,Electoral,RENTAL OF MOON BOUNCE
6/16/22,Gonzales Research,1173 Wright Ave  Arnold  Maryland 21012,Business/Group/Organization,1000,Change Annapolis PAC,Media,Survey/Polls,NA,EFT,NA,Electoral,NA
6/13/22,Foresight Messaging,133 Main St  Annapolis  Maryland 21401,Business/Group/Organization,750,Change Annapolis PAC,Field Expenses,Consulting Fees - General,NA,EFT,NA,Electoral,NA
6/9/22,Critical Point Strategies,2221 rogene Dr  Baltimore  Maryland 21209,Business/Group/Organization,927,Change Annapolis PAC,Field Expenses,Consulting Fees - General,NA,EFT,NA,Electoral,NA
6/22/22,Save Our Schools Maryland PAC,626C Admiral Drive  321  Annapolis  Maryland 21401,PAC Committee,1100,Change Annapolis PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,EFT,NA,Electoral,NA
6/22/22,Scott Cutter,837 Gephart Dr  Cumberland  Maryland 21502,Business/Group/Organization,300,Change Annapolis PAC,Printing and Campaign Materials,Graphic Design,NA,Check,NA,Electoral,NA
6/21/22,Post Haste,90 RUSSELL ST  ANNAPOLIS  Maryland 21401,Business/Group/Organization,525.8,Change Annapolis PAC,Direct Mailing by Mail House (R),Mailing Service,NA,EFT,NA,Electoral,NA
6/17/22,MailChimp / The Rocket Science Group LLC,675 Ponce de Leon Avenue NE  Suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,95.4,Fair  Kris ( Kristopher ) Friends of,Other Expenses,Other,NA,EFT,NA,Electoral,Email management/marketing
7/1/22,ACTBlue Donate,14 Arrow Street Suite 11  Cambridge  Massachusetts 02138,Business/Group/Organization,0.3,Jones  Tiffany For Maryland,Other Expenses,Credit Card Service Processing Charges,NA,Debit Card,NA,Electoral,NA
6/27/22,ACTBlue Donate,14 Arrow Street Suite 11  Cambridge  Massachusetts 02138,Business/Group/Organization,1.5,Jones  Tiffany For Maryland,Other Expenses,Credit Card Service Processing Charges,NA,Debit Card,NA,Electoral,NA
6/27/22,ZippityPrint.com,1600 E 23rd St  Cleveland  Ohio 44114,Business/Group/Organization,455.8,Jones  Tiffany For Maryland,Printing and Campaign Materials,Printing - Yard Signs,NA,Debit Card,NA,Electoral,NA
6/27/22,Vistaprint USA,275 Wyman St  Waltham  Massachusetts 02451,Business/Group/Organization,240.18,Jones  Tiffany For Maryland,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),NA,Debit Card,NA,Electoral,NA
7/1/22,Staples Promotional Products,PO Box 88003  Milwaukee  Wisconsin 53288,Business/Group/Organization,132.06,Jones  Tiffany For Maryland,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),NA,Debit Card,NA,Electoral,NA
6/24/22,Comcast,5801 Metro Dr  Baltimore  Maryland 21215,Business/Group/Organization,622.23,Team 30A Slate,Rent and Other Office expenses,Utilities - Internet Access,NA,Credit Card/Visa,NA,Electoral,NA
6/13/22,Antietam broadband,1000 Willow Circle  Hagerstown  Maryland 21740,Business/Group/Organization,500,Barr  John Friends of,Media,TV,NA,Check,NA,Electoral,NA
6/23/22,Stickermule,336 Forest Avenue  Amsterdam  New York 12010,Business/Group/Organization,91.16,Jones  Tiffany For Maryland,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),NA,Debit Card,NA,Electoral,NA
6/28/22,Lord Industries,3301 LUKE DRIVE  WESTMINSTER  Maryland 21157,Business/Group/Organization,806.66,Jones  Tiffany For Maryland,Printing and Campaign Materials,Printing - Yard Signs,NA,Debit Card,NA,Electoral,NA
6/27/22,Staples Promotional Products,PO Box 88003  Milwaukee  Wisconsin 53288,Business/Group/Organization,128.2,Jones  Tiffany For Maryland,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),NA,Debit Card,NA,Electoral,NA
6/21/22,E Plus Graphics,1 Est Main St  Emmitsburg  Maryland 21727,Business/Group/Organization,108.9,Barnes  Heath Friends of,Printing and Campaign Materials,Printing - Brochures,NA,Check,NA,Electoral,NA
6/30/22,Anedot,5555 Hilton Ave  Baton Rouge  Louisiana 70808,Business/Group/Organization,80.5,Barnes  Heath Friends of,Fund Raiser,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/22/22,Connoisseur Media,5966 Grove Hill Rd  Frederick  Maryland 21703,Business/Group/Organization,1003,Barnes  Heath Friends of,Media,Newspaper,NA,EFT,NA,Electoral,NA
6/16/22,Gateway Printing,603 East Main St  Thurmont  Maryland 21788,Business/Group/Organization,1537.39,Barnes  Heath Friends of,Printing and Campaign Materials,Printing - Brochures,NA,EFT,NA,Electoral,NA
6/16/22,Neighborhood Signs and Stickers,6655 Amberton Drive  Suite L  Elkridge  Maryland 21075,Business/Group/Organization,666.74,Barnes  Heath Friends of,Printing and Campaign Materials,Printing - Yard Signs,NA,EFT,NA,Electoral,NA
6/30/22,Southern States,100 W Elizabeth St  Woodsboro  Maryland 21798,Business/Group/Organization,414.72,Barnes  Heath Friends of,Media,Billboards / Outdoor Advertising,NA,Debit Card,NA,Electoral,NA
6/30/22,Dollar Tree,8425 Woodsboro Pke  Walkerville  Maryland 21793,Business/Group/Organization,82.15,Barnes  Heath Friends of,Rent and Other Office expenses,Office Supplies,NA,Debit Card,NA,Electoral,NA
6/30/22,USPS,602 S Main St  Woodboro  Maryland 21798,Business/Group/Organization,232,Barnes  Heath Friends of,Postage,Postage,NA,Debit Card,NA,Electoral,NA
6/30/22,EZ Politix,314 N 115th St  Omaha  Nebraska 68154,Business/Group/Organization,924.23,Barnes  Heath Friends of,Field Expenses,Consulting Fees - General,NA,Debit Card,NA,Electoral,NA
6/14/22,USPS,201 E Patrick St  Frederick  Maryland 21701,Business/Group/Organization,406,Barrett  Stephen for Frederick,Postage,Postage,NA,EFT,NA,Electoral,NA
6/27/22,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,6.35,Lower Shore Progressive Caucus PAC,Field Expenses,Other,NA,EFT,NA,Electoral,NA
7/1/22,ActBlue,PO Box 441146  Somerville  Massachusetts,Business/Group/Organization,16.45,Lower Shore Progressive Caucus PAC,Fund Raiser,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/22/22,Nationbuilder.com,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,179,Lower Shore Progressive Caucus PAC,Media,Media - Website Development,NA,EFT,NA,Electoral,NA
7/1/22,The Rocket Science Group  LLC,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,85.86,Lower Shore Progressive Caucus PAC,Fund Raiser,Mailing List,NA,EFT,NA,Electoral,NA
6/16/22,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,30.89,Ali  Saqib Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA
6/12/22,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,34.93,Ali  Saqib Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA
