FIPS,County,DEM,REP,BAR,GRN,LIB,WCP,OTH,UNA,TOTAL
24001,Allegany,12820,22530,20,74,204,19,395,7674,43736
24003,Anne Arundel,174494,135457,105,564,1922,197,2715,90162,405616
24510,Baltimore City,311610,30163,130,802,951,290,3289,52450,399685
24005,Baltimore County,313870,142534,134,898,2227,297,5872,100576,566408
24009,Calvert,24587,28181,20,89,332,30,567,14178,67984
24011,Caroline,6629,10039,2,33,86,17,163,4208,21177
24013,Carroll,33662,63967,27,155,670,38,1072,25770,125361
24015,Cecil,21601,30880,8,103,341,49,727,15110,68819
24017,Charles,72416,24711,19,112,349,83,763,19849,118302
24019,Dorchester,9848,8730,4,19,78,12,148,3348,22187
24021,Frederick,72487,68767,55,272,936,77,801,42961,186356
24023,Garrett,3990,13318,5,21,86,9,154,2600,20183
24025,Harford,66258,80038,50,232,966,71,1535,37942,187092
24027,Howard,118705,52748,50,317,812,58,2035,51909,226634
24029,Kent,6008,4996,2,19,50,11,116,2293,13495
24031,Montgomery,410935,105561,174,1036,2030,229,5816,147417,673198
24033,Prince George's,474841,40095,140,707,1177,288,11179,78012,606439
24035,Queen Anne's,11091,18930,4,41,188,11,280,7133,37678
24037,Saint Mary's,26373,30661,19,100,375,38,606,15661,73833
24039,Somerset,5704,5713,4,18,48,8,94,2048,13637
24041,Talbot,10749,11711,4,30,118,12,248,5122,27994
24043,Washington,32791,44161,24,130,513,43,875,20509,99046
24045,Wicomico,27194,23646,11,93,312,44,646,12291,64237
24047,Worcester,14134,18275,8,52,179,12,440,7565,40665
