Poll_ID,Jurisdiction Code,County_Name,Election_District_Precinct_Part,Poll_Place_ID,Poll_Name,Poll_Address1,City,State,ZIP,Legislative_Sub-District,Legislative_District,Congressional_District,Judicial_Circuit,Appellate_Circuit,Councilmanic_District,Commissioner_District,Board_Of_Education_District,Orphans'_Court_District,Election_District,Municipalities,Building_Type,College_Nearby,College_Name,Is_Early_Voting_Location
26410,1,Allegany,001-000-1,36277,Orleans Volunteer Fire Department,"12210 Orleans Road, NE",Little Orleans,MD,21766,01C,01,06,04,03,,,,,01,,FIRE STATION,,,
26411,1,Allegany,002-000-1,37115,Oldtown Volunteer Fire Department,"18712 Oldtown Road, SE",Oldtown,MD,21555,01C,01,06,04,03,,,,,02,,FIRE STATION,,,
26412,1,Allegany,003-000-1,36923,Flintstone Volunteer Fire Department,21701 Flintstone Drive NE,Flintstone,MD,21530,01C,01,06,04,03,,,,,03,,FIRE STATION,,,
26898,1,Allegany,004-000-1,37905,Fort Hill High School,500 Greenway Avenue,Cumberland,MD,21502,01B,01,06,04,03,,,,,04,,SCHOOL,,,
26899,1,Allegany,004-000-2,37905,Fort Hill High School,500 Greenway Avenue,Cumberland,MD,21502,01B,01,06,04,03,,,,,04,MUNICIPALITY CUMBERLAND CU,SCHOOL,,,
26900,1,Allegany,005-000-1,36925,Braddock Middle School -,909 Holland Street,Cumberland,MD,21502,01B,01,06,04,03,,,,,05,,SCHOOL,,,
26901,1,Allegany,005-000-2,36925,Braddock Middle School -,909 Holland Street,Cumberland,MD,21502,01B,01,06,04,03,,,,,05,MUNICIPALITY CUMBERLAND CU,SCHOOL,,,
26416,1,Allegany,006-005-1,37432,Allegany High School,900 Seton Drive,Cumberland,MD,21502,01B,01,06,04,03,,,,,06,,SCHOOL,,,
26442,1,Allegany,006-005-2,37432,Allegany High School,900 Seton Drive,Cumberland,MD,21502,01B,01,06,04,03,,,,,06,MUNICIPALITY CUMBERLAND CU,SCHOOL,,,
26417,1,Allegany,006-006-1,37906,All. Cty.  Multi-Purpose Bldg.,11490 Moss Avenue SW,Cumberland,MD,21502,01B,01,06,04,03,,,,,06,,OTHER,,,
26418,1,Allegany,007-001-1,36750,Cresaptown Elementary School,"13202 Sixth Avenue, SW",Cresaptown,MD,21502,01B,01,06,04,03,,,,,07,,SCHOOL,,,
26419,1,Allegany,007-002-1,36926,Bel Air Elementary School,"14401 Barton Boulevard, SW",Cumberland,MD,21502,01A,01,06,04,03,,,,,07,,SCHOOL,,,
26420,1,Allegany,008-000-1,36751,Westernport Elementary School,172 Church Street,Westernport,MD,21562,01A,01,06,04,03,,,,,08,,SCHOOL,,,
26443,1,Allegany,008-000-2,36751,Westernport Elementary School,172 Church Street,Westernport,MD,21562,01A,01,06,04,03,,,,,08,WESTERNPORT CC WD45,SCHOOL,,,
26453,1,Allegany,008-000-3,36751,Westernport Elementary School,172 Church Street,Westernport,MD,21562,01A,01,06,04,03,,,,,08,LUKE CC WD43,SCHOOL,,,
26421,1,Allegany,009-000-1,36752,Barton Council Chamber,"19018 Legislative Road, SW",Barton,MD,21521,01A,01,06,04,03,,,,,09,,OTHER,,,
26444,1,Allegany,009-000-2,36752,Barton Council Chamber,"19018 Legislative Road, SW",Barton,MD,21521,01A,01,06,04,03,,,,,09,BARTON CC WD40,OTHER,,,
26422,1,Allegany,010-000-1,36753,Westmar Middle School - Gym,"16915 Lower Georges Creek Road, SW",Lonaconing,MD,21539,01A,01,06,04,03,,,,,10,,SCHOOL,,,
26445,1,Allegany,010-000-2,36753,Westmar Middle School - Gym,"16915 Lower Georges Creek Road, SW",Lonaconing,MD,21539,01A,01,06,04,03,,,,,10,LONACONING TH WD42,SCHOOL,,,
26423,1,Allegany,011-000-1,36754,Frost Elementary School,260 Shaw Street,Frostburg,MD,21532,01B,01,06,04,03,,,,,11,,SCHOOL,,,
