zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
20601,24017,1881.325947105885,26401,1.00309,0.01404,1.1340801,1.1596,1.2772599,0.01246,1.41633,1.36412,1.21437,1.28175,1.24573,0.0451,-0.064259999,0.08963,-0.13695,0.092579998,0.86533999,0.04084,0.02495
20602,24017,2408.223342895508,26078,1.00289,0.01125,0.80106997,1.05196,1.28606,0.01211,1.05896,1.3543,1.13515,1.2526799,0.95352,0.073279999,-0.081119999,0.15988,-0.11058,0.090839997,0.90025002,0.038389999,0.01058
20603,24017,1687.011510014534,31401,1.03632,0.01461,1.3424,1.2064,1.3061301,0.01216,1.52197,1.39949,1.22656,1.3097301,1.3763,0.01643,-0.068530001,0.024630001,-0.10585,0.089060001,0.85404998,0.04628,0.0068299999
20607,24033,489.1469240188599,11234,1.0248801,0.02265,NA,1.22455,1.3399,0.015790001,NA,1.4300801,1.18384,1.32319,NA,-0.034389999,-0.080779999,NA,NA,0.085490003,0.75239003,0.045510001,0.01496
20609,24037,91.08575439453124,1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11148067,0.88644725,0.11277434,0.029594913
20611,24017,56.97075271606445,1535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092334591,0.83004314,0.13674475,0.042583976
20613,24033,761.1316223144531,13855,0.99456,0.017859999,1.32075,1.19148,1.32543,0.01397,1.54707,1.42699,1.20392,1.3069299,1.32803,0.01033,-0.091859996,0.0054799998,-0.16494,0.09127,0.75347,0.046950001,0.01452
20616,24017,451.3479347229004,6106,0.96947998,0.02272,NA,1.11976,1.2605799,0.016869999,NA,1.32829,1.1540999,1.2603,NA,0.029750001,-0.053950001,NA,NA,0.092739999,0.75378001,0.049219999,0.0156
20618,24037,49.38128280639648,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11226995,0.8406626,0.079891123,0.0051072855
20619,24037,643.5510177612305,13533,1.16796,0.016310001,1.2737,1.26328,1.46864,0.01244,1.59068,1.54647,1.28083,1.37649,1.40475,0.0137,-0.12349,0.093290001,-0.13236,0.09561,0.90307999,0.071829997,0.0093
