id,name,slug,amount,state,address,city,zip,naics_code,business_type,race,gender,veteran,non_profit,jobs_retained,date_approved,lender,congressional_district,loan_range_sort_key,previous_loan_range,previous_name,loan_number,sba_office_code,processing_method,loan_status,term,sba_guaranty_percentage,initial_approval_amount,current_approval_amount,undisbursed_amount,franchise_name,servicing_lender_location_id,servicing_lender_name,servicing_lender_address,servicing_lender_city,servicing_lender_state,servicing_lender_zip,rural_urban_indicator,hubzone_indicator,business_age_description,project_city,project_county_name,project_state,project_zip,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,originating_lender_city,originating_lender_state,loan_status_date,originating_lender_location_id,old_slug,lmi_indicator,unmatched_original,unmatched_updated,previous_jobs_reported,ethnicity,forgiveness_amount,forgiveness_date
105047586,"EXTREME, LLC",extreme-llc-5125977010,98800,WV,329 Monroe St,MARTINSBURG,25404-3382,711310,Corporation,Unanswered,Unanswered,Unanswered,NA,43,2020-04-05,First United Bank & Trust,WV-02,NA,NA,NA,5125977010,390,PPP,Paid in Full,24,100,98800,98800,0,NA,30767,First United Bank & Trust,19 S 2nd St,OAKLAND,MD,21550-1517,R,N,Existing or more than 2 years old,MARTINSBURG,BERKELEY,WV,25404-3382,NA,98800,NA,NA,NA,NA,NA,OAKLAND,MD,2021-04-17,30767,NA,N,NA,NA,NA,Unknown/NotStated,99766.04,2021-04-02
105064263,"QUALITY REVIEWS, INC.",quality-reviews-inc-5199547405,13500,WV,130 Traveller Road,Falling Waters,25419,541690,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,NA,1,2020-05-11,Manufacturers and Traders Trust Company,WV-02,NA,NA,NA,5199547405,390,PPP,Paid in Full,24,100,13500,13500,0,NA,46391,Manufacturers and Traders Trust Company,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,R,N,Existing or more than 2 years old,Falling Waters,BERKELEY,WV,25419-0001,960,12540,0,0,0,0,0,BUFFALO,NY,2021-01-22,46391,NA,N,NA,NA,NA,Not Hispanic or Latino,13577.3,2020-12-16
105070829,AMANDA JACKSON-GLOYD,amanda-jackson-gloyd-5460247403,5675,WV,1720 Fulton Rd,HEDGESVILLE,25427,531210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2020-05-12,"CNB Bank, Inc.",WV-02,NA,NA,NA,5460247403,390,PPP,Paid in Full,24,100,5675,5675,0,NA,74975,"CNB Bank, Inc.",101 S Washington St,BERKELEY SPRINGS,WV,25411-1569,R,N,Existing or more than 2 years old,HEDGESVILLE,BERKELEY,WV,25427-0001,NA,5675,NA,NA,NA,NA,NA,BERKELEY SPRINGS,WV,2020-12-17,74975,NA,N,NA,NA,NA,Unknown/NotStated,5702.99,2020-11-12
105049922,MICHELE ESPOSITO,michele-esposito-9695748508,63991.27,WV,4174 Hedgesville Rd,Hedgesville,25427-5803,624410,Sole Proprietorship,White,Female Owned,Unanswered,NA,13,2021-03-12,"CNB Bank, Inc.",WV-02,NA,NA,NA,9695748508,390,PPS,Exemption 4,60,100,63991.27,63991.27,0,NA,74975,"CNB Bank, Inc.",101 S Washington St,BERKELEY SPRINGS,WV,25411-1569,R,N,Existing or more than 2 years old,Hedgesville,BERKELEY,WV,25427-5803,1,63988.27,NA,NA,NA,NA,NA,BERKELEY SPRINGS,WV,NA,74975,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105051291,CHRISTIANS HELPING IN HOMES INC,christians-helping-in-homes-inc-8722958601,51350,WV,116 Antioch Ln 116 Antioch Ln,Falling Waters,25419-4705,813110,Corporation,Unanswered,Unanswered,Unanswered,NA,12,2021-03-25,"PNC Bank, National Association",WV-02,NA,NA,NA,8722958601,390,PPS,Exemption 4,60,100,51350,51350,0,NA,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,R,N,Existing or more than 2 years old,Falling Waters,BERKELEY,WV,25419-4705,NA,51350,NA,NA,NA,NA,NA,WILMINGTON,DE,NA,44449,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105068106,EON INTEGRATION SERVICES LLC,eon-integration-services-llc-4720287200,8400,WV,701 Mill Race Drive,Martinsburg,25401,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,1,2020-04-27,First United Bank & Trust,WV-02,NA,NA,NA,4720287200,390,PPP,Paid in Full,24,100,8400,8400,0,NA,30767,First United Bank & Trust,19 S 2nd St,OAKLAND,MD,21550-1517,R,Y,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25401-0001,NA,8400,NA,NA,NA,NA,NA,OAKLAND,MD,2021-04-17,30767,NA,Y,NA,NA,NA,Unknown/NotStated,8467.67,2021-02-19
105071611,JUSTIN LANDON,justin-landon-6312868302,5000,WV,828 Nadenbousch Ln,Martinsburg,25405-6730,236118,Sole Proprietorship,Unanswered,Unanswered,Unanswered,NA,1,2021-01-26,Woodforest National Bank,WV-02,NA,NA,NA,6312868302,390,PPS,Exemption 4,60,100,5000,5000,0,NA,70410,Woodforest National Bank,1330 Lake Robbins Dr,THE WOODLANDS,TX,77380-3266,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25405-6730,NA,4998,NA,NA,NA,NA,NA,THE WOODLANDS,TX,NA,70410,NA,N,NA,NA,NA,Unknown/NotStated,NA,NA
105059559,ABAYOMI SHODIPO,abayomi-shodipo-9092979003,20832,WV,43 Globe St,Martinsburg,25404-6559,488490,Sole Proprietorship,Black or African American,Male Owned,Non-Veteran,NA,1,2021-05-29,"Prestamos CDFI, LLC",WV-02,NA,NA,NA,9092979003,390,PPS,Exemption 4,60,100,20832,20832,0,NA,188361,"Prestamos CDFI, LLC",1024 East Buckeye Road Suite 270,Phoenix,AZ,85034,R,N,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25404-6559,NA,20832,NA,NA,NA,NA,NA,Phoenix,AZ,NA,188361,NA,N,NA,NA,NA,Not Hispanic or Latino,NA,NA
105063630,MICHELLE BISHOP BASEY,michelle-bishop-basey-2769568700,14543,WV,905 3rd St,Martinsburg,25404-4741,624410,Sole Proprietorship,Black or African American,Female Owned,Non-Veteran,NA,1,2021-03-30,Fountainhead SBF LLC,WV-02,NA,NA,NA,2769568700,390,PPP,Exemption 4,60,100,14543,14543,0,NA,524612,Fountainhead SBF LLC,3216 W. Lake Mary Blvd,LAKE MARY,FL,32746,R,Y,Existing or more than 2 years old,Martinsburg,BERKELEY,WV,25404-4741,NA,14543,NA,NA,NA,NA,NA,LAKE MARY,FL,NA,524612,NA,N,NA,NA,NA,Not Hispanic or Latino,NA,NA
105073162,KHALED AMMARI,khaled-ammari-4125737406,3610.01,WV,912 Middleway Pike,Inwood,25428,441120,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,NA,1,2020-05-08,Celtic Bank Corporation,WV-02,NA,NA,NA,4125737406,390,PPP,Paid in Full,24,100,3610.01,3610.01,0,NA,529050,"Square Capital, LLC","1455 Market Street, Suite 600",San Francisco,CA,94103,R,N,Existing or more than 2 years old,Inwood,BERKELEY,WV,25428-0001,451.25,2707.5,451.26,NA,NA,NA,NA,SALT LAKE CITY,UT,2021-03-12,223542,NA,N,NA,NA,NA,Unknown/NotStated,3636.62,2021-02-03
