project_county_name,project_state,total
ABBEVILLE,SC,324
ACADIA,LA,1306
ACCOMACK,VA,462
ADA,ID,11258
ADAIR,IA,612
ADAIR,KY,962
ADAIR,MO,792
ADAIR,OK,890
ADAMS,CO,7481
ADAMS,IA,288
ADAMS,ID,69
ADAMS,IL,2240
ADAMS,IN,563
ADAMS,MS,1096
ADAMS,ND,213
ADAMS,NE,1254
ADAMS,OH,432
ADAMS,PA,1313
ADAMS,WA,313
ADAMS,WI,267
ADDISON,VT,848
ADJUNTAS,PR,143
AGUADA,PR,516
AGUADILLA,PR,799
AGUAS BUENAS,PR,245
AIBONITO,PR,216
AIKEN,SC,2415
AITKIN,MN,279
ALACHUA,FL,5540
ALAMANCE,NC,2403
ALAMEDA,CA,39451
ALAMOSA,CO,397
ALBANY,NY,6413
ALBANY,WY,724
ALBEMARLE,VA,1803
ALCONA,MI,134
ALCORN,MS,944
Aleutian Islands,AK,1
ALEUTIANS EAST,AK,72
ALEUTIANS WEST,AK,47
ALEXANDER,IL,101
ALEXANDER,NC,330
ALEXANDRIA CITY,VA,4860
ALFALFA,OK,401
ALGER,MI,176
ALLAMAKEE,IA,973
ALLEGAN,MI,1637
ALLEGANY,MD,880
ALLEGANY,NY,393
ALLEGHANY,NC,258
ALLEGHANY,VA,131
ALLEGHENY,PA,24345
ALLEN,IN,6973
ALLEN,KS,421
ALLEN,KY,405
ALLEN,LA,236
ALLEN,OH,1891
ALLENDALE,SC,226
ALPENA,MI,465
ALPINE,CA,10
AMADOR,CA,484
AMELIA,VA,230
AMERICAN SAMOA,AS,220
AMHERST,VA,258
AMITE,MS,360
ANASCO,PR,254
ANCHORAGE,AK,6315
ANDERSON,KS,436
ANDERSON,KY,305
ANDERSON,SC,2921
ANDERSON,TN,961
ANDERSON,TX,739
ANDREW,MO,392
ANDREWS,TX,401
ANDROSCOGGIN,ME,1682
ANGELINA,TX,1527
ANNE ARUNDEL,MD,11750
ANOKA,MN,5853
ANSON,NC,362
ANTELOPE,NE,854
ANTRIM,MI,357
APACHE,AZ,210
APO,AE,2
APPANOOSE,IA,490
APPLING,GA,516
APPOMATTOX,VA,253
ARANSAS,TX,444
ARAPAHOE,CO,15751
ARCHER,TX,318
ARCHULETA,CO,358
ARECIBO,PR,970
ARENAC,MI,206
ARKANSAS,AR,579
ARLINGTON,VA,4673
ARMSTRONG,PA,734
ARMSTRONG,TX,92
AROOSTOOK,ME,1843
ARROYO,PR,53
ARTHUR,NE,51
ASCENSION,LA,3808
ASHE,NC,417
ASHLAND,OH,876
ASHLAND,WI,384
ASHLEY,AR,422
ASHTABULA,OH,1044
ASOTIN,WA,256
ASSUMPTION,LA,902
ATASCOSA,TX,722
ATCHISON,KS,527
ATCHISON,MO,241
ATHENS,OH,715
ATKINSON,GA,248
ATLANTIC,NJ,4985
ATOKA,OK,665
ATTALA,MS,445
AUDRAIN,MO,611
AUDUBON,IA,610
AUGLAIZE,OH,1018
AUGUSTA,VA,936
AURORA,SD,357
AUSTIN,TX,842
AUTAUGA,AL,909
AVERY,NC,261
AVOYELLES,LA,967
BACA,CO,280
BACON,GA,383
BAILEY,TX,192
BAKER,FL,240
BAKER,GA,109
BAKER,OR,377
BALDWIN,AL,5563
BALDWIN,GA,1214
BALLARD,KY,183
BALTIMORE,MD,19410
BALTIMORE CITY,MD,13546
BAMBERG,SC,246
BANDERA,TX,338
BANKS,GA,273
BANNER,NE,123
BANNOCK,ID,1298
BARAGA,MI,105
BARBER,KS,349
BARBOUR,AL,735
BARBOUR,WV,160
BARCELONETA,PR,197
BARNES,ND,688
BARNSTABLE,MA,6743
BARNWELL,SC,351
BARRANQUITAS,PR,247
BARREN,KY,1368
BARRON,WI,1630
BARROW,GA,1523
BARRY,MI,810
BARRY,MO,1077
