County,DEM,REP,GRN,LIB,WCP,OTH,UNA,TOTAL,pct_dr
Allegany,11793,22732,76,223,73,382,8337,43616,79.15673147468819
Anne Arundel,173922,129893,632,2257,434,2951,96403,406492,74.74070830422247
Baltimore City,303620,28211,908,1080,666,3984,56665,395134,83.97935890103105
Baltimore County,309297,137378,898,2493,687,5921,106789,563463,79.27317321634251
Calvert,23779,27912,94,410,69,548,15169,67981,76.03742222091466
Caroline,6250,10539,34,108,40,160,4454,21585,77.78086634236739
Carroll,33572,63771,191,797,102,1033,28139,127605,76.28462834528428
Cecil,20666,31961,111,447,104,678,16360,70327,74.83185689706656
Charles,74373,23334,129,425,143,864,21819,121087,80.69156887196809
Dorchester,9608,8965,22,110,33,191,3745,22674,81.91320455146864
Frederick,76712,68334,318,1147,179,1060,48035,195785,74.08432719564829
Garrett,3719,13584,24,101,20,157,2791,20396,84.83526181604236
Harford,65127,80005,238,1182,202,1628,40778,189160,76.72446606047791
Howard,120954,49011,351,894,134,1981,56199,229524,74.05107962566007
Kent,5865,5221,20,66,22,110,2565,13869,79.93366500829188
Montgomery,409636,97505,1113,2227,446,5468,156978,673373,75.31353350965958
Prince George's,462097,37739,789,1313,593,10733,85143,598407,83.52776621931227
Queen Anne's,11102,19579,44,223,35,295,7916,39194,78.27983875082921
Saint Mary's,25474,31793,109,477,88,645,16756,75342,76.00939714900056
Somerset,5593,6009,24,61,16,110,2299,14112,82.21371882086169
Talbot,10803,11698,39,139,20,219,5582,28500,78.95087719298246
Washington,31402,43995,169,614,124,857,21976,99137,76.0533403270222
Wicomico,26749,23897,105,347,106,667,13406,65277,77.5862861344731
Worcester,13864,19122,56,212,36,454,8372,42116,78.32177794662361
