end_date,election_type,result_type,special,office,district,name_raw,party,jurisdiction,votes,year,election_day,absentee,provisional,second_absentee
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,"Rushern L. Baker, III",DEM,Allegany,413,2018,324,16,7,2
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Ralph Jaffe,DEM,Allegany,122,2018,106,2,4,0
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Ben Jealous,DEM,Allegany,1170,2018,979,19,9,16
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,"James Hugh Jones, II",DEM,Allegany,106,2018,99,3,1,0
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Valerie Ervin,DEM,Allegany,159,2018,118,5,6,2
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Rich Madaleno,DEM,Allegany,169,2018,133,6,3,7
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Alec Ross,DEM,Allegany,218,2018,175,6,3,1
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Jim Shea,DEM,Allegany,284,2018,239,6,3,4
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Krish O'Mara Vignarajah,DEM,Allegany,462,2018,364,4,6,3
2018-06-26T00:00:00Z,primary,certified,FALSE,Comptroller,NA,Peter Franchot,DEM,Allegany,3077,2018,2518,71,44,35
2018-06-26T00:00:00Z,primary,certified,FALSE,Attorney General,NA,Brian E. Frosh,DEM,Allegany,2863,2018,2335,68,43,32
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Ben Cardin,DEM,Allegany,2814,2018,2262,71,36,32
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Erik Jetmir,DEM,Allegany,40,2018,34,2,0,0
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Chelsea Manning,DEM,Allegany,316,2018,274,5,6,5
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Marcia H. Morgan,DEM,Allegany,125,2018,113,1,2,1
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Jerome Jerry Segal,DEM,Allegany,92,2018,82,2,1,1
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Richard Rikki Vaughn,DEM,Allegany,54,2018,45,1,1,0
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Debbie Rica Wilson,DEM,Allegany,131,2018,105,4,6,1
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Lih Young,DEM,Allegany,74,2018,66,0,1,0
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Andrew Duck,DEM,Allegany,353,2018,292,1,11,5
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,George English,DEM,Allegany,53,2018,41,4,2,2
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Chris Graves,DEM,Allegany,80,2018,65,4,3,1
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Nadia Hashimi,DEM,Allegany,211,2018,181,3,6,3
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Christopher Hearsey,DEM,Allegany,41,2018,37,4,0,0
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Roger Manno,DEM,Allegany,428,2018,344,13,7,7
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Aruna Miller,DEM,Allegany,417,2018,325,8,5,6
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,David Trone,DEM,Allegany,2056,2018,1695,41,20,18
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01A,Michael Dreisbach,DEM,Allegany,283,2018,248,3,4,4
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01B,Penny Lyn Walker,DEM,Allegany,1580,2018,1314,34,20,18
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Larry Hogan,REP,Allegany,6777,2018,5858,149,66,40
2018-06-26T00:00:00Z,primary,certified,FALSE,Comptroller,NA,Anjali Reed Phukan,REP,Allegany,4844,2018,4200,105,51,29
2018-06-26T00:00:00Z,primary,certified,FALSE,Attorney General,NA,Craig Wolf,REP,Allegany,5356,2018,4613,120,55,35
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Tony Campbell,REP,Allegany,1076,2018,933,23,9,11
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Chris Chaffee,REP,Allegany,1225,2018,1007,19,16,8
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Evan M. Cronhardt,REP,Allegany,97,2018,84,5,1,0
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Nnabu Eze,REP,Allegany,60,2018,50,3,0,1
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,John R. Graziani,REP,Allegany,392,2018,333,12,3,1
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Christina J. Grigorian,REP,Allegany,948,2018,863,17,6,4
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Albert Binyahmin Howard,REP,Allegany,71,2018,69,1,1,0
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Bill Krehnbrink,REP,Allegany,84,2018,68,1,0,1
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,"Gerald I. Smith, Jr.",REP,Allegany,446,2018,390,10,4,4
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Blaine Taylor,REP,Allegany,470,2018,407,8,2,0
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Brian Charles Vaeth,REP,Allegany,65,2018,54,3,0,1
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Kurt Elsasser,REP,Allegany,461,2018,410,6,6,3
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Amie Hoeber,REP,Allegany,4637,2018,3985,95,32,23
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Lisa Lloyd,REP,Allegany,841,2018,717,25,11,8
2018-06-26T00:00:00Z,primary,certified,FALSE,Representative in Congress,06,Bradley St. Rohrs,REP,Allegany,247,2018,209,12,1,4
2018-06-26T00:00:00Z,primary,certified,FALSE,State Senator,01,George C. Edwards,REP,Allegany,6115,2018,5280,136,62,37
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01A,Wendell R. Beitzel,REP,Allegany,1031,2018,947,15,5,3
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01A,"James M. Virts, Jr.",REP,Allegany,148,2018,140,1,0,1
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01B,Jason C. Buckel,REP,Allegany,3196,2018,2816,60,31,19
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01C,Nicole Alt-Myers,REP,Allegany,741,2018,623,19,8,5
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01C,Jordan  Lysczek,REP,Allegany,141,2018,109,5,3,0
2018-06-26T00:00:00Z,primary,certified,FALSE,House of Delegates,01C,Mike McKay,REP,Allegany,1162,2018,921,33,14,8
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,"Rushern L. Baker, III",DEM,Anne Arundel,9209,2018,5704,138,184,124
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Ralph Jaffe,DEM,Anne Arundel,456,2018,305,4,14,6
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Ben Jealous,DEM,Anne Arundel,15604,2018,10025,156,361,183
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,"James Hugh Jones, II",DEM,Anne Arundel,479,2018,346,6,19,4
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Valerie Ervin,DEM,Anne Arundel,1347,2018,873,31,30,20
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Rich Madaleno,DEM,Anne Arundel,2002,2018,1079,28,44,39
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Alec Ross,DEM,Anne Arundel,1177,2018,781,29,26,20
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Jim Shea,DEM,Anne Arundel,3446,2018,2078,54,73,32
2018-06-26T00:00:00Z,primary,certified,FALSE,Governor / Lt. Governor,NA,Krish O'Mara Vignarajah,DEM,Anne Arundel,4646,2018,2984,53,113,53
2018-06-26T00:00:00Z,primary,certified,FALSE,Comptroller,NA,Peter Franchot,DEM,Anne Arundel,33681,2018,21147,437,737,399
2018-06-26T00:00:00Z,primary,certified,FALSE,Attorney General,NA,Brian E. Frosh,DEM,Anne Arundel,33471,2018,20893,433,739,404
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Ben Cardin,DEM,Anne Arundel,30763,2018,18768,423,593,403
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Erik Jetmir,DEM,Anne Arundel,749,2018,520,15,17,11
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Chelsea Manning,DEM,Anne Arundel,2297,2018,1611,19,88,37
2018-06-26T00:00:00Z,primary,certified,FALSE,U.S. Senator,NA,Marcia H. Morgan,DEM,Anne Arundel,1117,2018,756,11,36,13
