county_name,office_name,office_district,candidate_name,party,early_voting,election_day,absentee,provisional,second_absentee,votes
Allegany County,U.S. Congress,06,Adrian Petrus,DEM,0,10,2,0,0,12
Allegany County,U.S. Congress,06,Altimont Mark Wilks,DEM,0,9,4,0,0,13
Allegany County,U.S. Congress,06,April McClain Delaney,DEM,114,544,656,96,18,1428
Allegany County,U.S. Congress,06,Ashwani Jain,DEM,24,125,69,7,3,228
Allegany County,U.S. Congress,06,Brenda J. Thiam,REP,10,53,54,3,0,120
Allegany County,U.S. Congress,06,Chris Hyser,REP,17,99,66,8,0,190
Allegany County,U.S. Congress,06,Dan Cox,REP,204,1505,353,61,7,2130
Allegany County,U.S. Congress,06,Destiny Drake West,DEM,3,23,14,6,0,46
Allegany County,U.S. Congress,06,Geoffrey Grammer,DEM,3,12,18,4,0,37
Allegany County,U.S. Congress,06,George Gluck,DEM,3,26,12,1,0,42
Allegany County,U.S. Congress,06,Joe Vogel,DEM,99,453,353,34,14,953
Allegany County,U.S. Congress,06,Joel Rubin,DEM,3,14,18,4,1,40
Allegany County,U.S. Congress,06,"Kiambo ""Bo"" White",DEM,1,9,6,3,0,19
Allegany County,U.S. Congress,06,Laurie-Anne Sayles,DEM,6,18,23,2,1,50
Allegany County,U.S. Congress,06,Lesley J. Lopez,DEM,10,26,40,2,0,78
Allegany County,U.S. Congress,06,Mariela Roca,REP,103,518,131,13,1,766
Allegany County,U.S. Congress,06,Mohammad S. Mozumder,DEM,0,4,5,1,0,10
Allegany County,U.S. Congress,06,Neil C. Parrott,REP,320,2303,554,72,26,3275
Allegany County,U.S. Congress,06,Peter Choharis,DEM,5,16,24,0,2,47
Allegany County,U.S. Congress,06,"Stephen R. McDow, II",DEM,1,12,10,2,0,25
Allegany County,U.S. Congress,06,Tekesha A. Martinez,DEM,3,32,40,4,5,84
Allegany County,U.S. Congress,06,Todd A. Puglisi,REP,2,20,13,2,0,37
Allegany County,U.S. Congress,06,Tom Royals,REP,47,125,22,5,1,200
Anne Arundel County,U.S. Congress,03,Abigail Diehl,DEM,66,341,321,44,67,839
Anne Arundel County,U.S. Congress,03,Aisha Khan,DEM,78,459,172,38,42,789
Anne Arundel County,U.S. Congress,03,"Arthur Radford Baker, Jr.",REP,562,1756,1122,190,152,3782
Anne Arundel County,U.S. Congress,03,Berney Flowers,REP,618,2204,614,105,110,3651
Anne Arundel County,U.S. Congress,03,Clarence Lam,DEM,186,589,442,48,146,1411
Anne Arundel County,U.S. Congress,03,Danny Craig Rupli,DEM,0,4,1,0,2,7
Anne Arundel County,U.S. Congress,03,Don Quinn,DEM,21,89,73,8,11,202
Anne Arundel County,U.S. Congress,03,Gary Schuman,DEM,16,51,41,5,6,119
Anne Arundel County,U.S. Congress,03,Harry Anthony Dunn,DEM,1261,2889,3904,411,753,9218
Anne Arundel County,U.S. Congress,03,Jake Pretot,DEM,7,19,23,3,5,57
Anne Arundel County,U.S. Congress,03,Jeff Woodard,DEM,26,83,51,7,4,171
Anne Arundel County,U.S. Congress,03,"John H. Morse, III",DEM,47,267,181,32,93,620
Anne Arundel County,U.S. Congress,03,John Rea,REP,100,357,182,37,11,687
Anne Arundel County,U.S. Congress,03,Jordan Mayo,REP,237,1005,479,71,78,1870
Anne Arundel County,U.S. Congress,03,Joshua M. Morales,REP,272,1221,325,89,50,1957
Anne Arundel County,U.S. Congress,03,Juan Dominguez,DEM,35,215,179,32,55,516
Anne Arundel County,U.S. Congress,03,Kristin Anne Lyman Nabors,DEM,17,66,56,3,18,160
Anne Arundel County,U.S. Congress,03,Lindsay Donahue,DEM,45,208,241,27,60,581
Anne Arundel County,U.S. Congress,03,Malcolm Thomas Colombo,DEM,24,94,80,14,29,241
Anne Arundel County,U.S. Congress,03,Mark S. Chang,DEM,285,923,1086,122,177,2593
Anne Arundel County,U.S. Congress,03,Mark Steven Gosnell,DEM,12,45,36,7,5,105
Anne Arundel County,U.S. Congress,03,Matt Libber,DEM,4,34,18,5,2,63
Anne Arundel County,U.S. Congress,03,Michael Coburn,DEM,23,161,100,19,12,315
Anne Arundel County,U.S. Congress,03,Mike Rogers,DEM,318,750,395,53,77,1593
Anne Arundel County,U.S. Congress,03,Naveed Mian,REP,54,247,161,35,31,528
Anne Arundel County,U.S. Congress,03,Ray Bly,REP,162,565,178,36,39,980
Anne Arundel County,U.S. Congress,03,Robert J. Steinberger,REP,870,2888,1125,202,142,5227
Anne Arundel County,U.S. Congress,03,Sarah Elfreth,DEM,1930,5730,6956,775,1440,16831
Anne Arundel County,U.S. Congress,03,Stewart Fred Silver,DEM,8,20,8,0,0,36
Anne Arundel County,U.S. Congress,03,Terri Hill,DEM,79,387,244,39,104,853
Anne Arundel County,U.S. Congress,03,"Thomas E. ""Pinkston"" Harris",REP,332,1310,325,63,33,2063
Anne Arundel County,U.S. Congress,05,Andrea L. Crooms,DEM,136,565,496,52,119,1368
Anne Arundel County,U.S. Congress,05,McKayla Wilkes,DEM,152,760,447,75,169,1603
Anne Arundel County,U.S. Congress,05,Michelle Talkington,REP,1211,3547,1650,277,180,6865
Anne Arundel County,U.S. Congress,05,Quincy Bareebe,DEM,193,681,407,57,156,1494
Anne Arundel County,U.S. Congress,05,Steny Hoyer,DEM,1338,3564,4657,436,842,10837
Baltimore City,U.S. Congress,02,"Clint Spellman, Jr.",DEM,3,33,24,5,10,75
Baltimore City,U.S. Congress,02,Dave Wallace,REP,4,60,21,1,5,91
Baltimore City,U.S. Congress,02,Harry Bhandari,DEM,25,300,181,25,95,626
Baltimore City,U.S. Congress,02,Jessica Sjoberg,DEM,3,71,39,8,10,131
Baltimore City,U.S. Congress,02,"John ""Johnny O"" Olszewski, Jr.",DEM,510,2441,1925,221,800,5897
Baltimore City,U.S. Congress,02,John Thormann,REP,3,21,21,1,2,48
Baltimore City,U.S. Congress,02,Kim Klacik,REP,1,144,80,3,11,239
Baltimore City,U.S. Congress,02,Sharron Reed-Burns,DEM,31,133,69,11,27,271
Baltimore City,U.S. Congress,02,Sia Kyriakakos,DEM,34,333,150,26,119,662
Baltimore City,U.S. Congress,07,Kweisi Mfume,DEM,11326,29491,20697,4276,5417,71207
Baltimore City,U.S. Congress,07,Lorrie A. Sigley,REP,82,336,225,41,45,729
Baltimore City,U.S. Congress,07,Scott M. Collier,REP,165,764,364,52,67,1412
Baltimore City,U.S. Congress,07,Tashi Kimandus Davis,DEM,1097,4733,2018,656,715,9219
