YEAR,COUNTY,DEM,REP,LIB,UNA,OTH,TOTAL
2018,Allegany,13557,21549,285,7143,456,42990
2018,Anne Arundel,162683,134806,2864,83248,2273,385874
2018,Baltimore City,305704,30873,1475,47859,3032,388943
2018,Baltimore County,310019,142739,3203,91948,6028,553937
2018,Calvert,23661,27415,480,13185,515,65256
2018,Caroline,6776,9390,123,3812,134,20235
2018,Carroll,32198,62908,905,23816,1089,120916
2018,Cecil,21440,28190,439,14138,705,64912
2018,Charles,67938,24871,511,18141,673,112134
2018,Dorchester,9912,8182,103,3033,130,21360
2018,Frederick,64669,67012,1340,39092,794,172907
2018,Garrett,4175,12744,109,2463,177,19668
2018,Harford,64545,77772,1381,35004,1507,180209
2018,Howard,108243,55158,1263,47883,2325,214872
2018,Kent,6044,4786,82,2077,130,13119
2018,Montgomery,390400,112995,3086,142173,6761,655415
2018,Prince George's,456702,40500,1677,68270,12374,579523
2018,Queen Anne's,10724,17896,251,6527,250,35648
2018,St. Mary's ,25678,29453,558,14411,547,70647
2018,Somerset,5885,5301,62,1821,92,13161
2018,Talbot,10273,11535,159,4814,256,27037
2018,Washington,32081,42395,703,19093,830,95102
2018,Wicomico,26501,22811,407,11154,570,61443
2018,Worcester,14076,17088,247,6907,401,38719
2018,TOTAL,2173884,1008369,21713,708012,42049,3954027
