name,email,subject,date,year,month,day,hour,minute,domain,body,party,disclaimer
KamalaHarris.com,info@contact.kamalaharris.com,There has never been a more important moment to donate to the Harris Fight Fund program than right now.,2024-11-14T16:36:11Z,2024,11,14,16,36,contact.kamalaharris.com,"| | |                                                                                                                                    --- ![Harris forPresident](https://actionnetwork.org/s3_files/uploads/data/000/951/481/original/HFP-FightFund-SingleColor-HarrisBlue.png) **** There has never been a more important moment to donate to the Harris Fight Fund program than right now. Here's why: **Right now, there are U.S. Senate and House races that are either too close to call, or within the margin of recounts or certain legal challenges. They all need our help to get across the finish line.** So here’s what happens next: We'll have staff on the ground continuing to support the races that need our help. We'll have to defend the races that are within the margin of recounts or certain legal challenges and that is going to take some time. All of this takes resources, Peter, so we're relying on you today. **Please contribute to support the Harris Fight Fund program. We need a huge number of donations today to help Democratic candidates across the country who need to protect their victories and make sure every vote is counted in their races.** **** _If you've saved payment information with ActBlue Express, your donation will go through immediately:_ | | $50 >> --- | $75 >> --- | $100 >> --- | $250 >> --- | $500 >> --- | Other >> ---  We'll be in touch with more,Kamala HQ           * * *| | DONATE --- | TAKE ACTION --- | SHOP ---  * * *This email was sent to **dpwillis67@gmail.com**. Thank you so much for being asupporter. But Peter, we don't want to bother you. If you’d like tounsubscribe from all Harris for President emails, you can **click here**.Contributions or gifts to Harris Victory Fund are not tax deductible. Wesincerely thank you for your help and support. Paid for by Harris VictoryFund, a joint fundraising committee authorized by Harris for President, theDemocratic National Committee and the State Democratic Parties in thesestates: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS,KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH,OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, and WY. ---  The first $41,300/$15,000 from a person/multicandidate committee (“PAC”) willbe allocated to the DNC. The next $3,300/$5,000 from a person/PAC will beallocated to Harris for President’s Recount Account. The next$510,000/$255,000 from a person/PAC will be split equally among the Democraticstate parties from these states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA,HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE,NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI,WV, and WY. Any additional funds will be allocated to the DNC, subject toapplicable contribution limits.A contributor may designate their contribution for a particular participant bycontacting **info@kamalaharris.com**.The allocation formula above may changeif following it would result in an excessive contribution.   ![](https://click.contact.kamalaharris.com/ss/o/u001.ZbNyqOfLYPaP-d23SgKjnQ/4bg/QpG6BseqRdenchZKVgEHQA/ho.gif)",D,TRUE
Team Trump,contact@win.donaldjtrump.com,Trump is inside the White House,2024-11-13T16:24:55Z,2024,11,13,16,24,win.donaldjtrump.com,"Right now he’s conducting a meeting. Before he leaves, will you send him yourinput?                     | | | | |  --- ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/09/09fac220-9e37-4b19-8313-b7ac2ae6d85a/final-official-logo.png) | --- **__** Friend, President Trump is inside the White House right now conducting a veryimportant meeting. We are starting the long-awaited journey of Making America Great Again, andthat means that he needs your input on the people's priorities. President Trump is sending around this _**Official MAGA Poll**_ to everyonethat had a hand in electing him the 47th President of the United States. Hecan’t thank you enough! **What should be Trump’s TOP PRIORITY when he’s back in the OVAL OFFICE?>** RESPOND TO TRUMP It would be very nice if you could fill this out before he leaves the WhiteHouse today, but please take your time to think about it if you need. He’s looking to you to set the OFFICIAL TRUMP AGENDA. Also, you don’t need to donate to submit your response!  SUBMIT ANSWER On behalf of President Trump, thank you for all you do, Team Trump  SUBMIT ANSWER | --- | --- | --- | --- | --- | --- Contributions to Trump National Committee JFC Inc. are not deductible forfederal income tax purposes. All contributions are subject to the limits andprohibitions of the Federal Election Campaign Act. Contributions fromcorporations, foreign nationals (i.e., without “green cards”), federalgovernment contractors, and other federally impermissible sources are strictlyprohibited. Contributions made in the name of, or refunded by, any otherperson are unlawful. | Paid for by Trump National Committee JFC, Inc., P.O. Box 509, Arlington, VA22216. Not Authorized by any Candidate or Candidate’s Committee. ---   You are receiving this email at dpwillis67@gmail.com Trump National Committee JFC Inc., PO Box 509, Arlington, VA 22216 donaldjtrump.com If you'd like to change your subscription status follow this link. Privacy Policy  ![](https://email.win.donaldjtrump.com/o/eJw8zs9qwzAMx_GncW4NkWxHzcGHdi2MwQZjg50dyWm85t-aLl3efqSUXPX9gH6-HZpYzU7RXiHWUUaFqPROIe7e8evjMxwDbc6v53njj-Hlban49KATrrhjP0nJcy_1z3gY7PPf_iQTrPw6D2HFj6dpaH1slisdEnHIW2ROggPSYIHAYFI7sVZKyks0JRNoWxZb7UksABGErEqiwwwNAGjI0VibMlZcGB0EOCNPhTLZLXap9J1v5Pt6-W2HlPs2uTgZbrFp4piTMtlpGXMPk8P_AAAA___dcFFf)",R,TRUE
Elon Musk + Trump Alert,hello@m.conservativeum.com,What is going on?,2024-11-15T17:06:17Z,2024,11,15,17,6,m.conservativeum.com,"DID YOU SEE WHAT ELON SAID ABOUT THE DEMOCRATS IN PENNSYLVANIA? AfterPresident Trump secured a HISTORIC victory in the great Commonwealth ofPennsylvania,their sitting Democratic Senator, Bob Casey, is REFUSING toconcede his election to Republican Dave McCormick. Right now, the radicalDemocrats' LAWYERS are SUING to ILLEGALLY count votes from UNREGISTEREDvoters. What is going on? STAND WITH TRUMP >> Americansdemand electionintegrity, and it’s clear DAVE McCormack has won this race. Democrat Bob Caseyand his radical allies are trying to CHANGE the outcome, and we can’t letthem. Will you join us and DEMAND ELECTION INTEGRITY for ALL RACES and helpTrump-backed Dave McCormick? >> DONATE HERE:secure.winred.com/ameripac/senate-case STAND WITH TRUMP >> SAVE PENNSYLVANIA>> Elon Musk, President Trump, and millions of PROUD patriots put endlesshours into WINNING the 2024 election. But now that PENNSYLVANIA Democrats aretrying to CHANGE THE OUTCOME of the race by illegally counting UNREGISTEREDvotes,we won’t stand for it. Donate ANY AMOUNT RIGHT NOW to stand with Trumpand the Republican Party to SECURE Dave McCormick’s WIN in Pennsylvania andSTOP the Democrats. >> Thank you for your support, 2024 Election Race UpdatesDONATE NOW >> Paid for by American Political Action Committee (AmeriPAC)American Political Action Committee (AmeriPAC) PO Box 1682 Bellevue, WA98009-1682 Since 1980, AmeriPAC has helped fund and elect a large number ofconservative, freedom-oriented candidates to public office. We’ve played ahuge role in several presidential cycles. We directed much of our time andfunds from generous patriots like you to oppose radical Leftist candidates,including Bill Clinton, Hillary Clinton, Barack Obama, and Kamala Harris. AtAmeriPAC, we want to personally restore our country for freedom-lovingpatriots like you. Unsubscribe |Mark as Junk",R,TRUE
Letter to Trump,info@g4yamerica.com,"Thank you, President Trump. From: Fellow American",2024-11-15T02:41:12Z,2024,11,15,2,41,g4yamerica.com,"Your support means the world to me They tried to bankrupt him. They tried toimprison him. They even tried to kill him. Will you sign our thank you note toPresident Trump?                                                                                                                                                         Friend, They tried to bankrupt him. They tried to imprisonhim. They even tried to kill him. But he never stopped fighting for us. Andnow, President Donald J. Trump will once again be President of the UnitedStates. We are so grateful for all he has done for us, so House Republicansare sending him a letter to show our thanks. Will you join us and say THANKYOU PRESIDENT TRUMP, by signing this heartfelt note? THANK YOU PRESIDENTTRUMP SIGN THE THANK YOU NOTE You’ve been with the MAGA movement for so long,and as one of the most dedicated patriots in the movement, it would mean a lotif your name was on this thank you letter. So, without further ado, will youplease sign House Republicans thank you note to President Trump? THANK YOUPRESIDENT TRUMP SIGN THE THANK YOU NOTE America first, House GOP Paid for bythe NRCC and not authorized by any candidate or candidate's committee.NRCC.orgNRCC 320 First St SE Washington, DC 20003 By providing your cell phone ormobile phone number you are consenting to receive calls and texts, includingautodialed and automated calls and texts, to that number with campaignnotifications from the National Republican Congressional Committee (21818).NRCC is happy to help at 888-606-1023. Reply HELP for help, STOP to end.MessFreqMayVary. Msg&DataRatesMayApply.; Message frequency may vary. Terms andConditionshere . Privacy Policy Unsubscribe",R,TRUE
Trump Merch Team,contact@win.donaldjtrump.com,Christmas Gift?,2024-11-14T16:21:38Z,2024,11,14,16,21,win.donaldjtrump.com,"Make every sip of coffee taste like freedom!                                          | | | | |  --- ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/0e/0ef5469f-f276-4bdc-84af-40fd073c4882/red-and-white-logo.png) | --- Friend!  # **_Need a Trump Christmas Gift?_**  ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/d0/d0ae4539-1ab7-452e-a8cc-2d04c07a80d4/christmas-mug.png) | --- CLAIM TRUMP CHRISTMAS MUG Make every sip of coffee taste like freedom! Can our team ship you the **_Official Trump Christmas Mug?_** Supplies are extremely limited with Christmas just around the corner, so ordernow if you want to spread the Trump Christmas cheer! **_CLAIM OFFICIAL TRUMP CHRISTMAS MUG>_**  CLAIM TRUMP CHRISTMAS MUG Cheers! Trump Merch Team  | --- | --- | --- | --- | --- | --- Contributions to Trump National Committee JFC Inc. are not deductible forfederal income tax purposes. All contributions are subject to the limits andprohibitions of the Federal Election Campaign Act. Contributions fromcorporations, foreign nationals (i.e., without “green cards”), federalgovernment contractors, and other federally impermissible sources are strictlyprohibited. Contributions made in the name of, or refunded by, any otherperson are unlawful. | Paid for by Trump National Committee JFC, Inc., P.O. Box 509, Arlington, VA22216. Not Authorized by any Candidate or Candidate’s Committee. ---   You are receiving this email at dpwillis67@gmail.com Trump National Committee JFC Inc., PO Box 509, Arlington, VA 22216 donaldjtrump.com If you'd like to change your subscription status follow this link. Privacy Policy  ![](https://email.win.donaldjtrump.com/o/eJw8zsFrgzAUx_G_Jt4qeS8x0UMObhXGBoVthe4ak-eaYjTU1q7764ejeH3fD7yfjakP3d0w_cQQj8FPDJGJmiHW73j43FNDerMtx2JjG3rdLRWfH3TGFQ_O8ia-tD-H6276Sr_7-u30McPKL_dEK348zSna0C9Xvc28QVeicxkZ0AIUF8BFdjTagyJVQIWeQ9G12HHoCmmFxtKhoCwY5CgBQIJCEGWuJfnSSaerwlbUKib5LQy5Hwfb-9PlfI0pd2PMzsanW-j7MCnNJP9exvyH2eBfAAAA___oqVA1)",R,TRUE
KamalaHarris.com,contact@e.kamalaharris.com,Is there anything we can say?,2024-11-11T19:06:49Z,2024,11,11,19,6,e.kamalaharris.com,"[https://act.kamalaharris.com/go/2412?refcode=kh_em_fr_20241111_b2_khc_tier1_kfm_ped_fl_ak-fnd-&amount;=50&amounts;=50%252C75%252C100%252C250%252C500&utm;_campaign=kh_em_fr_20241111_b2_khc_tier1_kfm_ped_fl_ak-fnd-&t;=1001&akid;=268%2E2563979%2EdOCkHf ]Harris Fight Fund Peter, is thereanything we can say to convince you to make a contribution to support theHarris Fight Fund program today? Please let us try: First and foremost, wewant to acknowledge the fear, confusion, and sadness many of you are feelingat this moment. But what if we told you that as you read this there are U.S.Senate and House races that are either too close to call, or within the marginof recounts or certain legal challenges. What if we told you that they allneed our help to get across the finish line? And what if we told you that yoursupport today will help make sure we succeed and count every vote in thesefinal races? You're needed, Peter. Today. Please rush a $50 contribution tosupport the Harris Fight Fund program. The donation you give will helpDemocratic candidates across the country who need to protect their victoriesand make sure every vote is counted in their races. $50 >> $75 >> $100 >> $250>> $500 >> Other >> https://act.kamalaharris.com/go/920?c0=em-hvf-november-fight-fund-2024.2fXGwp&refcode;=kh_em_fr_20241111_b2_khc_tier1_kfm_ped_fl_ak-fnd-&t;=1002&akid;=268%2E2563979%2EdOCkHf Thank you, Kamala HQ You canunsubscribe from this mailing list at any time:http://act.kamalaharris.com/cms/unsubscribe/unsubscribe/?akid=268%2E2563979%2EdOCkHf",D,FALSE
Photo from Trump,contact@win.donaldjtrump.com,Friend!,2024-11-14T00:46:20Z,2024,11,14,0,46,win.donaldjtrump.com,"As a special thank you, can I ship you a signed victory photo?                                | | | | |  --- ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/d8/d8e4944a-f204-4527-8e79-c197cc6206e3/new-trump-item-alert-logo.png) Friend, ACCEPT GIFT **__** | # _**SIGNED VICTORY PHOTO FROM TRUMP**_  --- | --- ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/e2/e21301f1-5a64-4249-9467-c11e3d09aa67/signed-victory-photo-.png) Friend,  I couldn’t have won this election without your help! | --- To show you just how special you are to me and the MAGA movement, I want tosend you a Signed Victory Photo! _**Do I have the right address for you?**_  CLAIM SIGNED TRUMP VICTORY PHOTO ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/3b/3beb99c8-7054-4c69-be55-89edfb9beb85/signed-victory-photo-v2.png)  ## **_It even comes with a nice frame folder –_**## _**_FREE OF CHARGE!_**_ From the very beginning of OUR journey together, I felt your love for me! I want you to know something very important: I LOVE YOU TOO. As just a small way to show my great appreciation, I would love for you tohave this signed victory photo! The greatest comeback in history wouldn’t be possible without you. **Please claim your Signed Trump Victory Photo here>**  ACCEPT GIFT Thank you,  ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/b0/b028923f-aa71-493e-a406-a3ae3dd63e4b/trumpheadshot.png) ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/cb/cb3fa8bb-6df3-4771-a7a6-1eb7fa1da014/trump-signature.png) Donald J. Trump President - Elect of the United States CLAIM SIGNED TRUMP VICTORY PHOTO | --- | --- | --- | --- | --- | --- Contributions to Trump National Committee JFC Inc. are not deductible forfederal income tax purposes. All contributions are subject to the limits andprohibitions of the Federal Election Campaign Act. Contributions fromcorporations, foreign nationals (i.e., without “green cards”), federalgovernment contractors, and other federally impermissible sources are strictlyprohibited. Contributions made in the name of, or refunded by, any otherperson are unlawful. | Paid for by Trump National Committee JFC, Inc., P.O. Box 509, Arlington, VA22216. Not Authorized by any Candidate or Candidate’s Committee. ---   You are receiving this email at dpwillis67@gmail.com Trump National Committee JFC Inc., PO Box 509, Arlington, VA 22216 donaldjtrump.com If you'd like to change your subscription status follow this link. Privacy Policy  ![](https://email.win.donaldjtrump.com/o/eJw8zrFOwzAQxvGncbZGvrNzbgcPAbqAhARFihgd-0yN4jQkJVHfHgVVWe__k-5zeehSvFlhHgTiOYVJIApVC8T6DZvTBx_Z7IIb65078vPrWvHxTmfccO9dnl9O1CyxmX6qOn0qeJ9h49fbwBu-Py05u9StV_NUBIt-j94XbMEoqHQFeyrOFkxsVSQwh6olYLePJpLTkjhqJRUVyaJEDQBaSk0oSzioSBxU8K3XRrPQckl9GS6968L3dfzNQ-kvuRhtGJbUdWkiI7T8Wsf8h9niXwAAAP__JLpQnQ)",R,TRUE
Trump Merch Team,contact@win.donaldjtrump.com,Trump Won Shirt for Friend,2024-11-12T20:37:28Z,2024,11,12,20,37,win.donaldjtrump.com,"We made this just for you!                                                  | | | | |  --- ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/d3/d3fdf6d2-c835-40c4-a162-5bfd6e5b2037/president-elect-trump-logo.png) | --- **__**# _**THIS IS YOUR VICTORY!**_# President Trump won because of _YOUR SUPPORT_ , so today, we want you to havethe _**OFFICIAL TRUMP WON VICTORY SHIRT!**_ ![MAKE AMERICA GREAT AGAIN.>](https://cdn.nucleusfiles.com/63/63fdea64-4c35-400e-9c42-9cf5d9e2d424/victory-trump-won-shirt.png) CLAIM VICTORY SHIRT President Trump loves you for everything that you’ve done. YOU MADE AMERICA GREAT AGAIN! **_So please take this moment to claim your shirt today.>_** THANK YOU THANK YOU THANK YOU!  CLAIM VICTORY SHIRT Sincerely, Trump Merch Team  | --- | --- | --- | --- | --- | --- Contributions to Trump National Committee JFC Inc. are not deductible forfederal income tax purposes. All contributions are subject to the limits andprohibitions of the Federal Election Campaign Act. Contributions fromcorporations, foreign nationals (i.e., without “green cards”), federalgovernment contractors, and other federally impermissible sources are strictlyprohibited. Contributions made in the name of, or refunded by, any otherperson are unlawful. | Paid for by Trump National Committee JFC, Inc., P.O. Box 509, Arlington, VA22216. Not Authorized by any Candidate or Candidate’s Committee. ---   You are receiving this email at dpwillis67@gmail.com Trump National Committee JFC Inc., PO Box 509, Arlington, VA 22216 donaldjtrump.com If you'd like to change your subscription status follow this link. Privacy Policy  ![](https://email.win.donaldjtrump.com/o/eJw8zs1u6jAQxfGncXZE8bHjGRZehHuR-iGqVq2E2l2wHXCVBENoEG9fpULZzv8nzam71MbmZgWtBHCIfhCAUJUAqjds3z_COtDiWafXRb0OTy9Txb87HTHj3tWbU_Vo1FfcDPy5f9iuTmGUM7_cUpjx_Wkeujq205X-Z97CMZzLgpWkpNaKGdnBgrQzZmdKr5bK7EgtJbmCm1KCCUZm0aKAllIChSJwzoZlWZbGa9aOm0bo4hr73B_7uvXfl_NPl3J37LKz9eka2zYOhoQu9tOYvzBa_AYAAP__PflOog)",R,TRUE
Letter to Trump,info@itsourgreatamerica.com,"Thank you, President Trump. From: Peter",2024-11-10T21:29:53Z,2024,11,10,21,29,itsourgreatamerica.com,"Your support means the world to me They tried to bankrupt him. They tried toimprison him. They even tried to kill him. Will you sign our thank you note toPresident Trump?                                                                                                                                                         Friend, They tried to bankrupt him. They tried to imprisonhim. They even tried to kill him. But he never stopped fighting for us. Andnow, President Donald J. Trump will once again be President of the UnitedStates. We are so grateful for all he has done for us, so House Republicansare sending him a letter to show our thanks. Will you join us and say THANKYOU PRESIDENT TRUMP, by signing this heartfelt note? THANK YOU PRESIDENTTRUMP SIGN THE THANK YOU NOTE You’ve been with the MAGA movement for so long,and as one of the most dedicated patriots in the movement, it would mean a lotif your name was on this thank you letter. So, without further ado, will youplease sign House Republicans thank you note to President Trump? THANK YOUPRESIDENT TRUMP SIGN THE THANK YOU NOTE America first, House GOP Paid for bythe NRCC and not authorized by any candidate or candidate's committee.NRCC.orgNRCC 320 First St SE Washington, DC 20003 By providing your cell phone ormobile phone number you are consenting to receive calls and texts, includingautodialed and automated calls and texts, to that number with campaignnotifications from the National Republican Congressional Committee (21818).NRCC is happy to help at 888-606-1023. Reply HELP for help, STOP to end.MessFreqMayVary. Msg&DataRatesMayApply.; Message frequency may vary. Terms andConditionshere . Privacy Policy Unsubscribe",R,TRUE
Trump Defenders (via Team Marsha),info@updates.marshablackburn.com,It’s time to end ALL LEGAL WARFARE against President Trump,2024-11-10T15:39:08Z,2024,11,10,15,39,updates.marshablackburn.com,"It's about time someone said this… The real jury - the American People - hasspoken. Now that President Trump has WON the 2024 General Election, thecorrupt lawfare waged against him must end. And not just that: - Hisconviction must be WIPED from the record - The insurmountable fine must beREVERSED - Jack Smith's baseless case must be entirely THROWN OUT Donald Trumpand his legal team have spent countless hours, days, weeks, AND MONTHSfighting in courtrooms to clear his name and demand his freedom. And theAmerican People saw through the election-rigging scheme. According to recentreports, a decision will be made as soon as THIS TUESDAY on whether or not tothrow out his sham conviction.https://click.updates.marshablackburn.com/?qs=b5853f68316ef34fb09fac619d4aed0f5c9a8e3889f46693489d0180ee6b6fdaaac74e87673e1f30f8c2c737ab551cb0270d69da5256e1cac54515b1588e2066So before then we are launching a nationwide search for the most dedicatedTrump Defenders in America. You've stepped up before, so now we're calling onYOU to do it again now that the stakes are higher than ever.https://click.updates.marshablackburn.com/?qs=b5853f68316ef34fb09fac619d4aed0f5c9a8e3889f46693489d0180ee6b6fdaaac74e87673e1f30f8c2c737ab551cb0270d69da5256e1cac54515b1588e2066ADD YOUR NAME:https://click.updates.marshablackburn.com/?qs=b5853f68316ef34fb09fac619d4aed0f5c9a8e3889f46693489d0180ee6b6fdaaac74e87673e1f30f8c2c737ab551cb0270d69da5256e1cac54515b1588e2066BECOME A TRUMP DEFENDER Time is of the essence. There are just days before aNew York judge decides whether to throw out one of the sham cases against thePresident-elect or move forward with his sentencing at the end of the month.https://click.updates.marshablackburn.com/?qs=b5853f68316ef34fb09fac619d4aed0f5c9a8e3889f46693489d0180ee6b6fdaaac74e87673e1f30f8c2c737ab551cb0270d69da5256e1cac54515b1588e2066So will you add your name as a Trump Defender? Or will you choose to sit thisone out? We're hoping to see your name on our list. - Team Marshahttps://click.updates.marshablackburn.com/?qs=b5853f68316ef34fdf732a5099e6c5e834b2e98aa0295076ba0641b11ea7c7b1165cb182f4a09f8765919715647ff615cd5aa6466bd61ec4829c4c0e2e4cb324Peter, as one of Marsha's TOP supporters, you have unlocked an EXCLUSIVEendorsement opportunity.https://click.updates.marshablackburn.com/?qs=b5853f68316ef34fdf732a5099e6c5e834b2e98aa0295076ba0641b11ea7c7b1165cb182f4a09f8765919715647ff615cd5aa6466bd61ec4829c4c0e2e4cb324>"" alias=""ACCESS NOW >>"" conversion=""false"" data-linkto=""https://"">ACCESS NOW>> Paid for by Blackburn Tennessee Victory Fund, a joint fundraising committeeauthorized by and composed of Marsha for Senate, MARSHA PAC, and TennesseeRepublican Party Federal Election Account. To ensure that you don't miss outon important messages, please add info@updates.marshablackburn.com""info@updates.marshablackburn.com"" to your address book. Not Sure How? Followthe link below to your email provider to get step by step instructions on howto add us to your address book.https://click.updates.marshablackburn.com/?qs=b5853f68316ef34f125f09e841d07134f89b30b8c1cf006ac4fadf81a01e1337c073cff1dbe0e16892096d53cbc7dc29a30b649f16f717effe39e871cd1be2ffiCloud ,https://click.updates.marshablackburn.com/?qs=b5853f68316ef34f726b4f1e77f8dd0aef77869211e65ba767faf97dddefbb5b2c10e887f2a5ae2a96a40c1fe16dda3476e235380c6b3744e1cef21b5574de51Gmail ,https://click.updates.marshablackburn.com/?qs=b5853f68316ef34f1e56499bb42727076b47cbd20d9556ab1003ef7247ef5c3d6b7d0cf13293a5a301744d28c14ee4a170c752da97fe12179ca265b677a9a77eOutlook ,https://click.updates.marshablackburn.com/?qs=b5853f68316ef34f71cd7ce82fb750f9b47a59c83b61eda5c6d900af84ffc973adc9d6f680dcc5f6a682092127f04fd122193783156399603ca273485fe400e4Yahoo Mail ,https://click.updates.marshablackburn.com/?qs=b5853f68316ef34f903dcde23a9b92b0f1e2a16b3cc100f70ca4dd783e483ff5e9fb200a30cfa57d47cb9cd2718906f8adb4cd8132ea0692b5279ad2509aebcbAOL Mail Blackburn Tennessee Victory Fund PO Box 3750 Brentwood, TN 37024 Thismessage reflects the opinions and representations of Blackburn TennesseeVictory Fund. You are receiving this email because you signed up as a memberof Blackburn Tennessee Victory Fund's online community.https://click.updates.marshablackburn.com/?qs=b5853f68316ef34f07fb23a733535e7dec43b8edd59fd99374344ec950615304e94bc97998bdef4bd2225851424d1b61904f842f6822e9e1a9ec78748ce069b2Privacy Policy If you would prefer not to receive future emails from Blackburnfor Tennessee Victory Fund, click here.",R,TRUE
